0	0	0.25	width	Front left	x	y	Front right	x	y
-0.46431	4.583033	-0.202768			-3.3021580266	5.6769336252		2.5749194171	4.468645282
-0.443614	4.680867	-0.214177			-3.2687972925	5.8070727378		2.594112597	4.5318129104
-0.421841	4.778468	-0.224801			-3.234900271	5.934624364		2.6141306446	4.5971501219
-0.399072	4.875841	-0.234597			-3.2006707726	6.059498179		2.6349778159	4.664791919
-0.375393	4.972997	-0.243527			-3.1663101486	6.1816249286		2.6566511985	4.7348626293
-0.350891	5.069948	-0.251557			-3.1320129907	6.3009477859		2.6791432461	4.8074742535
-0.325656	5.166711	-0.258653			-3.0979728706	6.4174144697		2.7024394623	4.8827429191
-0.299782	5.263306	-0.264788			-3.0643736805	6.5309939899		2.7265143432	4.960766014
-0.273363	5.359753	-0.269939			-3.0313881725	6.6416645211		2.7513348187	5.0416286441
-0.246496	5.456076	-0.274084			-2.9991839716	6.7494084904		2.7768572133	5.1254170404
-0.21928	5.552301	-0.277207			-2.9679154772	6.854223814		2.8030258235	5.2122017361
-0.191812	5.648455	-0.279295			-2.9377230726	6.9561141227		2.8297771085	5.3020459075
-0.164194	5.744565	-0.280342			-2.9087344488	7.0550983743		2.8570307621	5.3949924942
-0.136526	5.840661	-0.280342			-2.8810664488	7.1511943743		2.8846987621	5.4910884942
-0.108908	5.936772	-0.279295			-2.8548190726	7.2444311227		2.9126811085	5.5903629075
-0.08144	6.032926	-0.277207			-2.8300754772	7.334848814		2.9408658235	5.6928267361
-0.054223	6.129151	-0.274084			-2.8069109716	7.4224834904		2.9691302133	5.7984920404
-0.027356	6.225474	-0.269939			-2.7853811725	7.5073855211		2.9973418187	5.9073496441
-0.000938	6.321921	-0.264788			-2.7655296805	7.5896089899		3.0253583432	6.019381014
0.024937	6.418515	-0.258653			-2.7473798706	7.6692184697		3.0530324623	6.1345469191
0.050171	6.515279	-0.251557			-2.7309509907	7.7462787859		3.0802052461	6.2528052535
0.074673	6.61223	-0.243527			-2.7162441486	7.8208579286		3.1067171985	6.3740956293
0.098353	6.709386	-0.234597			-2.7032457726	7.893043179		3.1324028159	6.498336919
0.121121	6.806759	-0.224801			-2.691938271	7.962915364		3.1570926446	6.6254411219
0.142894	6.904359	-0.214177			-2.6822892925	8.0305647378		3.180620597	6.7553049104
0.16359	7.002194	-0.202768			-2.6742580266	8.0960946252		3.2028194171	6.887806282
0.183133	7.100265	-0.190618			-2.6677961297	8.1596058789		3.2235278672	7.0228114539
0.201449	7.198573	-0.177776			-2.6628487312	8.2212159029		3.2425877954	7.1601695182
0.218469	7.297113	-0.164293			-2.6593562595	8.2810447943		3.2598491517	7.2997154409
0.234129	7.395878	-0.150221			-2.6572567603	8.3392169557		3.2751714075	7.4412770723
0.248372	7.494858	-0.135615			-2.6564832674	8.3958662549		3.2884269572	7.5846681159
0.261145	7.594038	-0.120535			-2.6569666719	8.4511402521		3.2995000146	7.7296801956
