FLX	FLY	FRX	FRY
-2.77539338	9.427929327	3.181545303	10.14548179
-2.789687305	9.484357641	3.156564523	10.28566233
-2.80471207	9.54237427	3.130195613	10.42377701
-2.82047816	9.602137611	3.102621484	10.55968166
-2.836992731	9.663804083	3.074035853	10.69324135
-2.854260288	9.727525076	3.044639	10.82433281
-2.872287941	9.793438897	3.014626181	10.95285346
-2.891071963	9.861682076	2.98420226	11.07870829
-2.910609818	9.93237537	2.953560975	11.20182443
-2.930889329	10.00563926	2.922900152	11.32213032
-2.951890519	10.08158	2.892409842	11.43957606
-2.97358765	10.16029706	2.862271473	11.55412212
-2.995943649	10.24187537	2.832658491	11.66574232
-3.01891193	10.32639975	2.803738229	11.77441395
-3.042436416	10.41393801	2.775663208	11.88012926
-3.066449454	10.50455234	2.748576081	11.98288858
-3.090871245	10.59828333	2.722603286	12.08270709
-3.115611245	10.69517533	2.697863286	12.17959909
-3.140569454	10.79525234	2.674456081	12.27358858
-3.165632416	10.89852401	2.652467208	12.36471526
-3.19067793	11.00499775	2.631972229	12.45301195
-3.215573649	11.11466137	2.613028491	12.53852832
-3.24017965	11.22749106	2.595679473	12.62131612
-3.264346519	11.343444	2.579953842	12.70144006
-3.287919329	11.46247126	2.565870152	12.77896232
-3.310739818	11.58450837	2.553430975	12.85395743
-3.332642963	11.70947408	2.54263126	12.92650029
-3.353465941	11.8372689	2.533448181	12.99668346
-3.373043288	11.96778708	2.525856	13.06459481
-3.391212731	12.10090008	2.519815853	13.13033735
-3.40781616	12.23647161	2.515283484	13.19401566
-3.42269907	12.37434427	2.512208613	13.25574701
-3.435719305	12.51434964	2.510532523	13.31565433
-3.44674038	12.65631133	2.510198303	13.37386379
-3.455640253	12.80003494	2.511142597	13.43051287
-3.462308487	12.94531938	2.513303721	13.48574398
-3.466650206	13.09194607	2.51661865	13.5397114
-3.468587243	13.23969841	2.5210272	13.59257067
-3.468059108	13.38834411	2.526471085	13.64448425
-3.465024057	13.53765181	2.532896099	13.69561955
-3.45946098	13.68737948	2.540251137	13.74615454
-3.45136489	13.83729215	2.548494836	13.79626447
-3.440757463	13.9871454	2.557585299	13.84613439
-3.427676124	14.13670496	2.567491348	13.89594162
-3.412179212	14.28573326	2.57818788	13.94587726
-3.394346169	14.43400288	2.589654231	13.99612252
-3.374274255	14.58128811	2.601878061	14.04686927
-3.352079447	14.7273761	2.614851401	14.09830038
-3.327894672	14.87206025	2.628572015	14.1506002
-3.301865267	15.01514625	2.643044957	14.20394812
-3.27415276	15.15645596	2.658275408	14.25851607
-3.24493126	15.29581379	2.674274152	14.31448444
-3.214383731	15.4330659	2.691052795	14.37201952
-3.18270013	15.56807088	2.708623867	14.43127645
-3.150076027	15.70070263	2.727001417	14.49241428
-3.116715293	15.83084174	2.746194597	14.55558191
-3.082818271	15.95839236	2.766212645	14.62091812
-3.048588773	16.08326618	2.787059816	14.68855992
-3.014228149	16.20539293	2.808733199	14.75863063
-2.979930991	16.32471679	2.831225246	14.83124325
-2.945891871	16.44118347	2.854520462	14.90651192
-2.912291681	16.55476299	2.878596343	14.98453501
-2.879306173	16.66543352	2.903416819	15.06539764
-2.847101972	16.77317749	2.928939213	15.14918604
-2.815833477	16.87799281	2.955107824	15.23597074
